iter	Passed	Remaining
0	16	32630
1	35	35774
2	55	36657
3	73	36828
4	90	36282
5	109	36327
6	126	36145
7	145	36230
8	163	36153
9	181	36055
10	197	35738
11	215	35661
12	231	35428
13	248	35198
14	265	35121
15	284	35226
16	300	35095
17	318	35125
18	337	35138
19	354	35135
20	371	35033
21	389	35060
22	406	34966
23	424	34917
24	441	34854
25	460	34934
26	479	35009
27	498	35077
28	517	35205
29	536	35246
30	557	35419
31	575	35396
32	593	35394
33	611	35368
34	629	35329
35	647	35344
36	666	35359
37	684	35331
38	702	35316
39	718	35206
40	739	35311
41	759	35391
42	777	35394
43	796	35407
44	814	35405
45	833	35392
46	852	35405
47	870	35390
48	891	35489
49	909	35459
50	927	35435
51	945	35437
52	965	35479
53	983	35438
54	1002	35441
55	1021	35450
56	1040	35468
57	1058	35454
58	1078	35481
59	1096	35461
60	1114	35432
61	1133	35422
62	1154	35484
63	1173	35508
64	1191	35464
65	1210	35468
66	1229	35479
67	1248	35461
68	1266	35448
69	1285	35445
70	1303	35426
71	1322	35400
72	1342	35432
73	1361	35443
74	1382	35474
75	1399	35434
76	1416	35371
77	1435	35366
78	1452	35328
79	1471	35320
80	1489	35290
81	1510	35328
82	1528	35301
83	1547	35293
84	1566	35302
85	1584	35269
86	1602	35237
87	1620	35215
88	1639	35212
89	1659	35214
90	1677	35198
91	1697	35209
92	1716	35207
93	1734	35160
94	1752	35134
95	1772	35159
96	1792	35158
97	1809	35114
98	1827	35082
99	1844	35043
100	1864	35051
101	1884	35058
102	1903	35059
103	1923	35072
104	1941	35040
105	1961	35050
106	1979	35026
107	1999	35022
108	2018	35010
109	2037	35011
110	2055	34975
111	2077	35020
112	2095	34997
113	2117	35026
114	2136	35018
115	2154	34997
116	2175	35007
117	2191	34955
118	2209	34924
119	2228	34915
120	2246	34879
121	2264	34863
122	2284	34862
123	2302	34833
124	2322	34841
125	2339	34790
126	2357	34765
127	2378	34787
128	2398	34786
129	2416	34763
130	2435	34752
131	2455	34753
132	2475	34751
133	2494	34738
134	2514	34734
135	2531	34695
136	2551	34703
137	2569	34670
138	2587	34644
139	2605	34618
140	2625	34611
141	2645	34614
142	2665	34610
143	2684	34595
144	2704	34604
145	2723	34586
146	2742	34567
147	2760	34547
148	2780	34547
149	2798	34515
150	2818	34507
151	2836	34490
152	2853	34450
153	2869	34392
154	2886	34354
155	2905	34348
156	2925	34339
157	2945	34340
158	2963	34309
159	2981	34288
160	2998	34253
161	3019	34259
162	3039	34259
163	3058	34237
164	3077	34228
165	3096	34210
166	3116	34209
167	3136	34197
168	3152	34155
169	3172	34151
170	3190	34125
171	3209	34107
172	3226	34072
173	3247	34084
174	3267	34075
175	3287	34068
176	3308	34072
177	3327	34059
178	3347	34054
179	3367	34048
180	3385	34020
181	3405	34017
182	3425	34007
183	3445	34001
184	3465	33995
185	3483	33974
186	3502	33957
187	3521	33940
188	3541	33932
189	3558	33903
190	3577	33883
191	3595	33856
